bairro_origem,bairro_destino,logradouro,observacao,peso
Alto José Bonifácio,Brejo de Beberibe,Avenida Vereador Otacílio Azevedo,tipo=AVENIDA;pav=SEM PAVIMENTACAO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL DIARIA SEM SELETIVA;peso_calc=2.10,2.1
Alto José Bonifácio,Linha do Tiro,Rua Alto Itaúna,tipo=RUA;pav=SEM PAVIMENTACAO;ilum=VAPOR MERCURIO;coleta=MANUAL DIARIA;peso_calc=3.25,3.25
Alto José Bonifácio,Morro da Conceição,Rua Alexânia,tipo=RUA;pav=ESCADARIA;ilum=VAPOR MERCURIO;coleta=MANUAL DIARIA;peso_calc=3.05,3.05
Alto José Bonifácio,Vasco da Gama,Avenida Vereador Otacílio Azevedo,tipo=AVENIDA;pav=SEM PAVIMENTACAO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL DIARIA SEM SELETIVA;peso_calc=2.10,2.1
Alto José do Pinho,Alto Santa Terezinha,Rua Arlindo Cisneiros,tipo=RUA;pav=PARALELO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL DIARIA SEM SELETIVA;peso_calc=2.50,2.5
Alto José do Pinho,Bomba do Hemetério,Rua Arlindo Cisneiros,tipo=RUA;pav=PARALELO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL DIARIA SEM SELETIVA;peso_calc=2.50,2.5
Alto José do Pinho,Casa Amarela,Avenida Norte Miguel Arraes de Alencar,tipo=AVENIDA;pav=CONCRETO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL ALTERNADA COM SELETIVA;peso_calc=0.80,0.8
Alto José do Pinho,Mangabeira,Avenida Norte Miguel Arraes de Alencar,tipo=AVENIDA;pav=CONCRETO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL ALTERNADA COM SELETIVA;peso_calc=0.80,0.8
Alto José do Pinho,Morro da Conceição,Avenida Norte Miguel Arraes de Alencar,tipo=AVENIDA;pav=CONCRETO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL ALTERNADA COM SELETIVA;peso_calc=0.80,0.8
Alto José do Pinho,Tamarineira,Avenida Norte Miguel Arraes de Alencar,tipo=AVENIDA;pav=CONCRETO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL ALTERNADA COM SELETIVA;peso_calc=0.80,0.8
Alto Santa Terezinha,Bomba do Hemetério,Rua Airí,tipo=RUA;pav=SEM PAVIMENTACAO;ilum=VAPOR MERCURIO;coleta=MANUAL DIARIA;peso_calc=3.10,3.1
Alto Santa Terezinha,Linha do Tiro,Avenida Aníbal Benévolo,tipo=AVENIDA;pav=PARALELO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL DIARIA SEM SELETIVA;peso_calc=1.45,1.45
Alto Santa Terezinha,Morro da Conceição,Rua Padre Oliveira,tipo=RUA;pav=PARALELO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL DIARIA SEM SELETIVA;peso_calc=2.45,2.45
Alto Santa Terezinha,Água Fria,Avenida Aníbal Benévolo,tipo=AVENIDA;pav=PARALELO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL DIARIA SEM SELETIVA;peso_calc=1.45,1.45
Alto do Mandu,Apipucos,Avenida Norte Miguel Arraes de Alencar,tipo=AVENIDA;pav=CONCRETO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL ALTERNADA COM SELETIVA;peso_calc=0.80,0.8
Alto do Mandu,Casa Amarela,Avenida Doutor Eurico Chaves,tipo=AVENIDA;pav=PARALELO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL ALTERNADA COM SELETIVA;peso_calc=1.50,1.5
Alto do Mandu,Macaxeira,Avenida Norte Miguel Arraes de Alencar,tipo=AVENIDA;pav=CONCRETO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL ALTERNADA COM SELETIVA;peso_calc=0.80,0.8
Alto do Mandu,Monteiro,Avenida Doutor Eurico Chaves,tipo=AVENIDA;pav=PARALELO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL ALTERNADA COM SELETIVA;peso_calc=1.50,1.5
Alto do Mandu,Nova Descoberta,Avenida Norte Miguel Arraes de Alencar,tipo=AVENIDA;pav=CONCRETO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL ALTERNADA COM SELETIVA;peso_calc=0.80,0.8
Apipucos,Caxangá,Avenida da Recuperação,tipo=AVENIDA;pav=CONCRETO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL DIARIA SEM SELETIVA;peso_calc=1.25,1.25
Apipucos,Córrego do Jenipapo,Avenida Norte Miguel Arraes de Alencar,tipo=AVENIDA;pav=CONCRETO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL ALTERNADA COM SELETIVA;peso_calc=0.80,0.8
Apipucos,Dois Irmãos,Avenida da Recuperação,tipo=AVENIDA;pav=CONCRETO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL DIARIA SEM SELETIVA;peso_calc=1.25,1.25
Apipucos,Iputinga,Ponte de Apipucos,tipo=PONTE;pav=nan;ilum=nan;coleta=nan;peso_calc=1.20,1.2
Apipucos,Macaxeira,Avenida Norte Miguel Arraes de Alencar,tipo=AVENIDA;pav=CONCRETO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL ALTERNADA COM SELETIVA;peso_calc=0.80,0.8
Apipucos,Monteiro,Rua Mandacaru,tipo=RUA;pav=ASFALTO;ilum=SEM ILUMINACAO;coleta=CONVENCIONAL ALTERNADA COM SELETIVA;peso_calc=2.65,2.65
Areias,Barro,Avenida Central,tipo=AVENIDA;pav=ASFALTO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL DIARIA COM SELETIVA;peso_calc=1.30,1.3
Areias,Caçote,Avenida Capitão Gregório de Caldas,tipo=AVENIDA;pav=ASFALTO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL DIARIA SEM SELETIVA;peso_calc=1.20,1.2
Areias,Estância,Avenida Central,tipo=AVENIDA;pav=ASFALTO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL DIARIA COM SELETIVA;peso_calc=1.30,1.3
Areias,Ibura,Avenida Desembargador Nestor Diógens de Mello,tipo=AVENIDA;pav=SEM PAVIMENTACAO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL ALTERNADA COM SELETIVA;peso_calc=2.10,2.1
Areias,Ipsep,Avenida Recife,tipo=AVENIDA;pav=ASFALTO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL DIARIA SEM SELETIVA;peso_calc=1.35,1.35
Areias,Jardim São Paulo,Avenida Central,tipo=AVENIDA;pav=ASFALTO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL DIARIA COM SELETIVA;peso_calc=1.30,1.3
Areias,Jiquiá,Avenida Central,tipo=AVENIDA;pav=ASFALTO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL DIARIA COM SELETIVA;peso_calc=1.30,1.3
Arruda,Bomba do Hemetério,Estrada Velha de Água Fria,tipo=ESTRADA;pav=ASFALTO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL DIARIA SEM SELETIVA;peso_calc=1.35,1.35
Arruda,Campina do Barreto,Rua Celcina Maia Pereira,tipo=RUA;pav=SEM PAVIMENTACAO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL DIARIA SEM SELETIVA;peso_calc=3.10,3.1
Arruda,Campo Grande,Avenida Professor José dos Anjos,tipo=AVENIDA;pav=SEM PAVIMENTACAO;ilum=VAPOR MERCURIO;coleta=MANUAL DIARIA;peso_calc=2.15,2.15
Arruda,Mangabeira,Avenida Professor José dos Anjos,tipo=AVENIDA;pav=SEM PAVIMENTACAO;ilum=VAPOR MERCURIO;coleta=MANUAL DIARIA;peso_calc=2.15,2.15
Arruda,Peixinhos,Avenida Professor José dos Anjos,tipo=AVENIDA;pav=SEM PAVIMENTACAO;ilum=VAPOR MERCURIO;coleta=MANUAL DIARIA;peso_calc=2.15,2.15
Arruda,Ponto de Parada,Avenida Beberibe,tipo=AVENIDA;pav=ASFALTO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL ALTERNADA COM SELETIVA;peso_calc=1.30,1.3
Arruda,Tamarineira,Avenida Engenheiro Agamenon de Magalhães Melo,tipo=AVENIDA;pav=CONCRETO;ilum=VAPOR MERCURIO;coleta=MANUAL DIARIA;peso_calc=0.95,0.95
Arruda,Água Fria,Avenida Beberibe,tipo=AVENIDA;pav=ASFALTO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL ALTERNADA COM SELETIVA;peso_calc=1.30,1.3
Barro,Cohab - Ibura de Cima,Avenida Coração de Jesus,tipo=AVENIDA;pav=PARALELO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL DIARIA SEM SELETIVA;peso_calc=1.45,1.45
Barro,Ibura,Avenida Desembargador Nestor Diógens de Mello,tipo=AVENIDA;pav=SEM PAVIMENTACAO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL ALTERNADA COM SELETIVA;peso_calc=2.10,2.1
Barro,Jardim São Paulo,Avenida Central,tipo=AVENIDA;pav=ASFALTO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL DIARIA COM SELETIVA;peso_calc=1.30,1.3
Barro,Tejipió,Avenida Central,tipo=AVENIDA;pav=ASFALTO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL DIARIA COM SELETIVA;peso_calc=1.30,1.3
Beberibe,Dois Unidos,Avenida Hildebrando de Vasconcelos,tipo=AVENIDA;pav=SEM PAVIMENTACAO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL DIARIA SEM SELETIVA;peso_calc=2.10,2.1
Beberibe,Linha do Tiro,Avenida Aníbal Benévolo,tipo=AVENIDA;pav=PARALELO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL DIARIA SEM SELETIVA;peso_calc=1.45,1.45
Beberibe,Porto da Madeira,Avenida Aníbal Benévolo,tipo=AVENIDA;pav=PARALELO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL DIARIA SEM SELETIVA;peso_calc=1.45,1.45
Beberibe,Água Fria,Avenida Aníbal Benévolo,tipo=AVENIDA;pav=PARALELO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL DIARIA SEM SELETIVA;peso_calc=1.45,1.45
Boa Viagem,Ibura,Avenida Marechal Mascarenhas de Moraes,tipo=AVENIDA;pav=CONCRETO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL ALTERNADA COM SELETIVA;peso_calc=0.80,0.8
Boa Viagem,Imbiribeira,Avenida Antônio Torres Galvão,tipo=AVENIDA;pav=SEM PAVIMENTACAO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL ALTERNADA COM SELETIVA;peso_calc=2.50,2.5
Boa Viagem,Jordão,Avenida Marechal Mascarenhas de Moraes,tipo=AVENIDA;pav=CONCRETO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL ALTERNADA COM SELETIVA;peso_calc=0.80,0.8
Boa Viagem,Pina,Avenida Boa Viagem,tipo=AVENIDA;pav=CONCRETO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL DIARIA SEM SELETIVA;peso_calc=0.80,0.8
Boa Vista,Coelhos,Rua de São Gonçalo,tipo=RUA;pav=nan;ilum=nan;coleta=nan;peso_calc=2.00,2.0
Boa Vista,Derby,Avenida Governador Agamenon Magalhães,tipo=AVENIDA;pav=ASFALTO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL ALTERNADA COM SELETIVA;peso_calc=0.85,0.85
Boa Vista,Espinheiro,Avenida Governador Agamenon Magalhães,tipo=AVENIDA;pav=ASFALTO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL ALTERNADA COM SELETIVA;peso_calc=0.85,0.85
Boa Vista,Graças,Avenida Governador Agamenon Magalhães,tipo=AVENIDA;pav=ASFALTO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL ALTERNADA COM SELETIVA;peso_calc=0.85,0.85
Boa Vista,Ilha do Leite,Avenida Governador Agamenon Magalhães,tipo=AVENIDA;pav=ASFALTO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL ALTERNADA COM SELETIVA;peso_calc=0.85,0.85
Boa Vista,Paissandu,Avenida Governador Agamenon Magalhães,tipo=AVENIDA;pav=ASFALTO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL ALTERNADA COM SELETIVA;peso_calc=0.85,0.85
Boa Vista,Santo Amaro,Avenida Governador Agamenon Magalhães,tipo=AVENIDA;pav=ASFALTO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL ALTERNADA COM SELETIVA;peso_calc=0.85,0.85
Boa Vista,Santo Antônio,Ponte Duarte Coelho,tipo=PONTE;pav=nan;ilum=nan;coleta=nan;peso_calc=1.20,1.2
Boa Vista,Soledade,Avenida Conde da Boa Vista,tipo=AVENIDA;pav=CONCRETO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL DIARIA SEM SELETIVA;peso_calc=0.75,0.75
Bomba do Hemetério,Mangabeira,Rua Desembargador Heráclito Cavalcanti,tipo=RUA;pav=SEM PAVIMENTACAO;ilum=SEM ILUMINACAO;coleta=MANUAL DIARIA;peso_calc=3.45,3.45
Bomba do Hemetério,Água Fria,Estrada Velha de Água Fria,tipo=ESTRADA;pav=ASFALTO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL DIARIA SEM SELETIVA;peso_calc=1.35,1.35
Bongi,Mustardinha,Avenida Cônsul Vilares Fragoso,tipo=AVENIDA;pav=SEM PAVIMENTACAO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL ALTERNADA COM SELETIVA;peso_calc=2.05,2.05
Bongi,Prado,Avenida Engenheiro Abdias de Carvalho,tipo=AVENIDA;pav=ASFALTO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL DIARIA SEM SELETIVA;peso_calc=1.35,1.35
Bongi,San Martin,Avenida Cônsul Vilares Fragoso,tipo=AVENIDA;pav=SEM PAVIMENTACAO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL ALTERNADA COM SELETIVA;peso_calc=2.05,2.05
Brasília Teimosa,Pina,Avenida Boa Viagem,tipo=AVENIDA;pav=CONCRETO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL DIARIA SEM SELETIVA;peso_calc=0.80,0.8
Brejo da Guabiraba,Brejo de Beberibe,Avenida Canaã,tipo=AVENIDA;pav=SEM PAVIMENTACAO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL DIARIA SEM SELETIVA;peso_calc=2.05,2.05
Brejo da Guabiraba,Córrego do Jenipapo,Avenida da Recuperação,tipo=AVENIDA;pav=CONCRETO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL DIARIA SEM SELETIVA;peso_calc=1.25,1.25
Brejo da Guabiraba,Guabiraba,Avenida Embaixador Assis Chateaubriand,tipo=AVENIDA;pav=SEM PAVIMENTACAO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL DIARIA SEM SELETIVA;peso_calc=2.15,2.15
Brejo da Guabiraba,Nova Descoberta,Rua Alpestre,tipo=RUA;pav=ESCADARIA;ilum=VAPOR MERCURIO;coleta=MANUAL DIARIA;peso_calc=3.05,3.05
Brejo da Guabiraba,Passarinho,Avenida Canaã,tipo=AVENIDA;pav=SEM PAVIMENTACAO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL DIARIA SEM SELETIVA;peso_calc=2.05,2.05
Brejo de Beberibe,Dois Unidos,RUA SITIO DOS NOBRES,tipo=RUA;pav=SEM PAVIMENTACAO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL DIARIA SEM SELETIVA;peso_calc=3.05,3.05
Brejo de Beberibe,Linha do Tiro,Rua Bismarck de Freitas,tipo=RUA;pav=ASFALTO;ilum=SEM ILUMINACAO;coleta=CONVENCIONAL ALTERNADA COM SELETIVA;peso_calc=2.55,2.55
Brejo de Beberibe,Nova Descoberta,Rua Agrolândia,tipo=RUA;pav=SEM PAVIMENTACAO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL DIARIA COM SELETIVA;peso_calc=3.00,3.0
Brejo de Beberibe,Passarinho,Avenida Canaã,tipo=AVENIDA;pav=SEM PAVIMENTACAO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL DIARIA SEM SELETIVA;peso_calc=2.05,2.05
Brejo de Beberibe,Vasco da Gama,Avenida Vereador Otacílio Azevedo,tipo=AVENIDA;pav=SEM PAVIMENTACAO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL DIARIA SEM SELETIVA;peso_calc=2.10,2.1
Cabanga,Pina,Ponte Agamenon Magalhães,tipo=PONTE;pav=nan;ilum=nan;coleta=nan;peso_calc=1.20,1.2
Cabanga,São José,Avenida Engenheiro José Estelita,tipo=AVENIDA;pav=ASFALTO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL DIARIA SEM SELETIVA;peso_calc=1.00,1.0
Cajueiro,Campina do Barreto,Avenida Nova do Fundão,tipo=AVENIDA;pav=PARALELO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL ALTERNADA COM SELETIVA;peso_calc=1.10,1.1
Cajueiro,Fundão,Avenida Beberibe,tipo=AVENIDA;pav=ASFALTO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL ALTERNADA COM SELETIVA;peso_calc=1.30,1.3
Cajueiro,Porto da Madeira,Avenida Beberibe,tipo=AVENIDA;pav=ASFALTO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL ALTERNADA COM SELETIVA;peso_calc=1.30,1.3
Campina do Barreto,Fundão,Avenida Nova do Fundão,tipo=AVENIDA;pav=PARALELO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL ALTERNADA COM SELETIVA;peso_calc=1.10,1.1
Campina do Barreto,Peixinhos,Avenida Poeta Vinícius de Morais,tipo=AVENIDA;pav=SEM PAVIMENTACAO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL ALTERNADA COM SELETIVA;peso_calc=2.10,2.1
Campina do Barreto,Água Fria,Rua Constança,tipo=RUA;pav=ASFALTO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL ALTERNADA COM SELETIVA;peso_calc=2.50,2.5
Campo Grande,Encruzilhada,Estrada de Belém,tipo=ESTRADA;pav=ASFALTO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL ALTERNADA COM SELETIVA;peso_calc=1.85,1.85
Campo Grande,Hipódromo,Estrada de Belém,tipo=ESTRADA;pav=ASFALTO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL ALTERNADA COM SELETIVA;peso_calc=1.85,1.85
Campo Grande,Peixinhos,Avenida Correia de Brito,tipo=AVENIDA;pav=SEM PAVIMENTACAO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL ALTERNADA COM SELETIVA;peso_calc=2.25,2.25
Campo Grande,Ponto de Parada,Avenida Professor José dos Anjos,tipo=AVENIDA;pav=SEM PAVIMENTACAO;ilum=VAPOR MERCURIO;coleta=MANUAL DIARIA;peso_calc=2.15,2.15
Campo Grande,Santo Amaro,Avenida Dr Jayme da Fonte,tipo=AVENIDA;pav=SEM PAVIMENTACAO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL ALTERNADA COM SELETIVA;peso_calc=2.05,2.05
Campo Grande,Torreão,Avenida Dr Jayme da Fonte,tipo=AVENIDA;pav=SEM PAVIMENTACAO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL ALTERNADA COM SELETIVA;peso_calc=2.05,2.05
Casa Amarela,Casa Forte,Estrada das Ubaias,tipo=ESTRADA;pav=PARALELO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL ALTERNADA COM SELETIVA;peso_calc=1.50,1.5
Casa Amarela,Mangabeira,Avenida Norte Miguel Arraes de Alencar,tipo=AVENIDA;pav=CONCRETO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL ALTERNADA COM SELETIVA;peso_calc=0.80,0.8
Casa Amarela,Monteiro,Avenida Doutor Eurico Chaves,tipo=AVENIDA;pav=PARALELO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL ALTERNADA COM SELETIVA;peso_calc=1.50,1.5
Casa Amarela,Morro da Conceição,Avenida Norte Miguel Arraes de Alencar,tipo=AVENIDA;pav=CONCRETO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL ALTERNADA COM SELETIVA;peso_calc=0.80,0.8
Casa Amarela,Nova Descoberta,Avenida Norte Miguel Arraes de Alencar,tipo=AVENIDA;pav=CONCRETO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL ALTERNADA COM SELETIVA;peso_calc=0.80,0.8
Casa Amarela,Parnamirim,Estrada do Encanamento,tipo=ESTRADA;pav=ASFALTO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL ALTERNADA COM SELETIVA;peso_calc=1.45,1.45
Casa Amarela,Poço,Estrada do Encanamento,tipo=ESTRADA;pav=ASFALTO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL ALTERNADA COM SELETIVA;peso_calc=1.45,1.45
Casa Amarela,Tamarineira,Avenida Norte Miguel Arraes de Alencar,tipo=AVENIDA;pav=CONCRETO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL ALTERNADA COM SELETIVA;peso_calc=0.80,0.8
Casa Amarela,Vasco da Gama,Avenida Norte Miguel Arraes de Alencar,tipo=AVENIDA;pav=CONCRETO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL ALTERNADA COM SELETIVA;peso_calc=0.80,0.8
Casa Forte,Parnamirim,Avenida Dezessete de Agosto,tipo=AVENIDA;pav=ASFALTO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL ALTERNADA COM SELETIVA;peso_calc=0.90,0.9
Casa Forte,Poço,Avenida Dezessete de Agosto,tipo=AVENIDA;pav=ASFALTO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL ALTERNADA COM SELETIVA;peso_calc=0.90,0.9
Casa Forte,Santana,Avenida Dezessete de Agosto,tipo=AVENIDA;pav=ASFALTO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL ALTERNADA COM SELETIVA;peso_calc=0.90,0.9
Caxangá,Dois Irmãos,Avenida da Recuperação,tipo=AVENIDA;pav=CONCRETO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL DIARIA SEM SELETIVA;peso_calc=1.25,1.25
Caxangá,Iputinga,Avenida Caxangá,tipo=AVENIDA;pav=ASFALTO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL DIARIA SEM SELETIVA;peso_calc=0.80,0.8
Caxangá,Sítio dos Pintos - São Brás,Ponte do Bredo,tipo=PONTE;pav=nan;ilum=nan;coleta=nan;peso_calc=1.20,1.2
Caxangá,Várzea,Avenida Afonso Olindense,tipo=AVENIDA;pav=ASFALTO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL DIARIA SEM SELETIVA;peso_calc=0.90,0.9
Caçote,Ibura,Avenida Recife,tipo=AVENIDA;pav=ASFALTO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL DIARIA SEM SELETIVA;peso_calc=1.35,1.35
Caçote,Ipsep,Avenida Recife,tipo=AVENIDA;pav=ASFALTO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL DIARIA SEM SELETIVA;peso_calc=1.35,1.35
Cidade Universitária,Curado,Avenida Professor Luiz Freire,tipo=AVENIDA;pav=ASFALTO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL ALTERNADA COM SELETIVA;peso_calc=0.95,0.95
Cidade Universitária,Engenho do Meio,Avenida Múcio Uchôa Cavalcanti,tipo=AVENIDA;pav=ASFALTO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL ALTERNADA COM SELETIVA;peso_calc=0.95,0.95
Cidade Universitária,Iputinga,Avenida Múcio Uchôa Cavalcanti,tipo=AVENIDA;pav=ASFALTO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL ALTERNADA COM SELETIVA;peso_calc=0.95,0.95
Cidade Universitária,Várzea,Avenida Inácio de Barros Barreto,tipo=AVENIDA;pav=SEM PAVIMENTACAO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL DIARIA SEM SELETIVA;peso_calc=1.95,1.95
