bairro_origem,bairro_destino,logradouro,observacao,peso
Derby,Paissandu,Avenida Governador Agamenon Magalhães,tipo=AVENIDA;pav=ASFALTO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL ALTERNADA COM SELETIVA;peso_calc=0.85,0.85
Dois Irmãos,Guabiraba,Avenida Embaixador Assis Chateaubriand,tipo=AVENIDA;pav=SEM PAVIMENTACAO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL DIARIA SEM SELETIVA;peso_calc=2.15,2.15
Dois Irmãos,Sítio dos Pintos - São Brás,Avenida Luiz Antônio de Araújo,tipo=AVENIDA;pav=SEM PAVIMENTACAO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL DIARIA SEM SELETIVA;peso_calc=2.60,2.6
Dois Unidos,Linha do Tiro,Avenida Hildebrando de Vasconcelos,tipo=AVENIDA;pav=SEM PAVIMENTACAO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL DIARIA SEM SELETIVA;peso_calc=2.10,2.1
Dois Unidos,Passarinho,Avenida Chagas Ferreira,tipo=AVENIDA;pav=SEM PAVIMENTACAO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL DIARIA SEM SELETIVA;peso_calc=1.95,1.95
Encruzilhada,Espinheiro,Avenida João de Barros,tipo=AVENIDA;pav=ASFALTO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL ALTERNADA COM SELETIVA;peso_calc=0.90,0.9
Encruzilhada,Graças,Avenida Santos Dumont,tipo=AVENIDA;pav=PARALELO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL ALTERNADA COM SELETIVA;peso_calc=1.00,1.0
Encruzilhada,Hipódromo,Estrada de Belém,tipo=ESTRADA;pav=ASFALTO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL ALTERNADA COM SELETIVA;peso_calc=1.85,1.85
Encruzilhada,Ponto de Parada,Avenida Beberibe,tipo=AVENIDA;pav=ASFALTO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL ALTERNADA COM SELETIVA;peso_calc=1.30,1.3
Encruzilhada,Rosarinho,Avenida Norte Miguel Arraes de Alencar,tipo=AVENIDA;pav=CONCRETO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL ALTERNADA COM SELETIVA;peso_calc=0.80,0.8
Encruzilhada,Torreão,Avenida Norte Miguel Arraes de Alencar,tipo=AVENIDA;pav=CONCRETO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL ALTERNADA COM SELETIVA;peso_calc=0.80,0.8
Engenho do Meio,Iputinga,Avenida Múcio Uchôa Cavalcanti,tipo=AVENIDA;pav=ASFALTO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL ALTERNADA COM SELETIVA;peso_calc=0.95,0.95
Engenho do Meio,Torrões,Avenida Bicentenário da Revolução Francesa,tipo=AVENIDA;pav=ASFALTO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL ALTERNADA COM SELETIVA;peso_calc=1.45,1.45
Espinheiro,Graças,Avenida Conselheiro Rosa e Silva,tipo=AVENIDA;pav=ASFALTO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL ALTERNADA COM SELETIVA;peso_calc=0.90,0.9
Espinheiro,Santo Amaro,Avenida Governador Agamenon Magalhães,tipo=AVENIDA;pav=ASFALTO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL ALTERNADA COM SELETIVA;peso_calc=0.85,0.85
Espinheiro,Torreão,Avenida Governador Agamenon Magalhães,tipo=AVENIDA;pav=ASFALTO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL ALTERNADA COM SELETIVA;peso_calc=0.85,0.85
Estância,Jiquiá,Avenida Central,tipo=AVENIDA;pav=ASFALTO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL DIARIA COM SELETIVA;peso_calc=1.30,1.3
Estância,San Martin,Avenida João Cabral de Melo Neto,tipo=AVENIDA;pav=SEM PAVIMENTACAO;ilum=SEM ILUMINACAO;coleta=CONVENCIONAL ALTERNADA COM SELETIVA;peso_calc=2.45,2.45
Fundão,Porto da Madeira,Avenida Aníbal Benévolo,tipo=AVENIDA;pav=PARALELO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL DIARIA SEM SELETIVA;peso_calc=1.45,1.45
Fundão,Água Fria,Avenida Aníbal Benévolo,tipo=AVENIDA;pav=PARALELO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL DIARIA SEM SELETIVA;peso_calc=1.45,1.45
Graças,Jaqueira,Avenida Conselheiro Rosa e Silva,tipo=AVENIDA;pav=ASFALTO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL ALTERNADA COM SELETIVA;peso_calc=0.90,0.9
Graças,Madalena,Ponte Professor Moraes Rego,tipo=PONTE;pav=nan;ilum=nan;coleta=nan;peso_calc=1.20,1.2
Graças,Rosarinho,Avenida Santos Dumont,tipo=AVENIDA;pav=PARALELO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL ALTERNADA COM SELETIVA;peso_calc=1.00,1.0
Graças,Tamarineira,Avenida Conselheiro Rosa e Silva,tipo=AVENIDA;pav=ASFALTO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL ALTERNADA COM SELETIVA;peso_calc=0.90,0.9
Graças,Torre,Avenida Beira Rio,tipo=AVENIDA;pav=ASFALTO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL ALTERNADA COM SELETIVA;peso_calc=0.95,0.95
Guabiraba,Passarinho,Avenida da Recuperação,tipo=AVENIDA;pav=CONCRETO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL DIARIA SEM SELETIVA;peso_calc=1.25,1.25
Guabiraba,Pau Ferro,Estrada do Orfanato,tipo=ESTRADA;pav=SEM PAVIMENTACAO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL DIARIA SEM SELETIVA;peso_calc=2.50,2.5
Hipódromo,Ponto de Parada,Rua Costa Pinto,tipo=RUA;pav=SEM PAVIMENTACAO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL ALTERNADA COM SELETIVA;peso_calc=2.80,2.8
Ibura,Imbiribeira,Avenida Marechal Mascarenhas de Moraes,tipo=AVENIDA;pav=CONCRETO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL ALTERNADA COM SELETIVA;peso_calc=0.80,0.8
Ibura,Ipsep,Avenida Dom Helder Câmara,tipo=AVENIDA;pav=SEM PAVIMENTACAO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL DIARIA SEM SELETIVA;peso_calc=2.05,2.05
Ibura,Jordão,Avenida Centenário Alberto Santos Dumont,tipo=AVENIDA;pav=ASFALTO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL DIARIA SEM SELETIVA;peso_calc=0.95,0.95
Ilha Joana Bezerra,Ilha do Retiro,Avenida Prefeito Lima Castro,tipo=AVENIDA;pav=ASFALTO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL ALTERNADA COM SELETIVA;peso_calc=1.25,1.25
Ilha Joana Bezerra,Paissandu,Ponte José de Barros lima,tipo=PONTE;pav=nan;ilum=nan;coleta=nan;peso_calc=1.20,1.2
Ilha Joana Bezerra,São José,Avenida Central,tipo=AVENIDA;pav=ASFALTO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL DIARIA COM SELETIVA;peso_calc=1.30,1.3
Ilha Joana Bezerra,Ilha do Leite,Ponte José Barros Lima,tipo=PONTE;pav=nan;ilum=nan;coleta=nan;peso_calc=1.20,1.2
Ilha do Leite,Paissandu,Avenida Governador Agamenon Magalhães,tipo=AVENIDA;pav=ASFALTO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL ALTERNADA COM SELETIVA;peso_calc=0.85,0.85
Ilha do Retiro,Madalena,Avenida Beira Rio Deputado Osvaldo Coelho,tipo=AVENIDA;pav=nan;ilum=nan;coleta=nan;peso_calc=1.00,1.0
Ilha do Retiro,Paissandu,Ponte Prefeito Lima de Castro,tipo=PONTE;pav=nan;ilum=nan;coleta=nan;peso_calc=1.20,1.2
Ilha do Retiro,Prado,Avenida Engenheiro Abdias de Carvalho,tipo=AVENIDA;pav=ASFALTO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL DIARIA SEM SELETIVA;peso_calc=1.35,1.35
Imbiribeira,Ipsep,Avenida Recife,tipo=AVENIDA;pav=ASFALTO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL DIARIA SEM SELETIVA;peso_calc=1.35,1.35
Iputinga,Monteiro,Ponte Barqueiro Sinval Peixoto da Silva,tipo=PONTE;pav=nan;ilum=nan;coleta=nan;peso_calc=1.20,1.2
Iputinga,Várzea,Avenida Caxangá,tipo=AVENIDA;pav=ASFALTO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL DIARIA SEM SELETIVA;peso_calc=0.80,0.8
Jaqueira,Parnamirim,Avenida Parnamirim,tipo=AVENIDA;pav=ASFALTO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL ALTERNADA COM SELETIVA;peso_calc=0.85,0.85
Jaqueira,Santana,Ponte do Vintém,tipo=PONTE;pav=nan;ilum=nan;coleta=nan;peso_calc=1.20,1.2
Jaqueira,Tamarineira,Avenida Conselheiro Rosa e Silva,tipo=AVENIDA;pav=ASFALTO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL ALTERNADA COM SELETIVA;peso_calc=0.90,0.9
Jaqueira,Torre,Viaduto Governador Cordeiro de Farias,tipo=VIADUTO;pav=nan;ilum=nan;coleta=nan;peso_calc=1.10,1.1
Jardim São Paulo,San Martin,Avenida João Cabral de Melo Neto,tipo=AVENIDA;pav=SEM PAVIMENTACAO;ilum=SEM ILUMINACAO;coleta=CONVENCIONAL ALTERNADA COM SELETIVA;peso_calc=2.45,2.45
Jardim São Paulo,Tejipió,Avenida Central,tipo=AVENIDA;pav=ASFALTO;ilum=VAPOR MERCURIO;coleta=CONVENCIONAL DIARIA COM SELETIVA;peso_calc=1.30,1.3
